supplier_id,name,country,parent_supplier_id,ownership_pct,revenue,reliability_score,capacity,risk_score,last_updated
1,Advanced Materials Co 1,USA,,32.04,70629426.33,0.37,98080,0.81,2025-08-27 20:33:21.676340
2,Efficient Parts Co 2,Vietnam,,,117097785.8,0.69,74563,0.26,2024-11-12 20:33:21.676340
3,Modern Manufacturing 3,Vietnam,1.0,82.85,4242881.08,0.82,92506,0.44,2025-05-21 20:33:21.676340
4,Quality Suppliers LLC 4,Japan,,,49261472.04,0.85,80131,0.31,2025-09-18 20:33:21.676340
5,Innovative Parts Inc 5,Brazil,1.0,,147295962.42,0.71,48400,0.56,2024-10-15 20:33:21.676340
6,Precision Components Inc 6,USA,2.0,86.98,433375349.71,0.55,60429,0.61,2025-04-07 20:33:21.676340
7,International Parts Ltd 7,Mexico,,73.16,342090285.1,0.35,84227,0.24,2025-06-07 20:33:21.676340
8,International Parts Ltd 8,Thailand,4.0,67.6,278917922.14,0.74,8331,0.28,2025-09-24 20:33:21.676340
9,Reliable Parts Co 9,Vietnam,,,471511947.45,0.87,42245,0.27,2025-01-28 20:33:21.676340
10,Strategic Suppliers 10,Thailand,3.0,,372749502.06,0.65,98912,0.57,2024-12-16 20:33:21.676340
11,Strategic Suppliers 11,Mexico,,18.18,24511071.34,0.37,83240,0.23,2024-10-27 20:33:21.676340
12,Dynamic Manufacturing 12,Italy,2.0,99.65,265028058.2,0.93,2504,0.64,2025-08-13 20:33:21.676340
13,Modern Manufacturing 13,India,11.0,,217947860.08,0.59,95646,0.8,2025-05-29 20:33:21.676340
14,Trusted Suppliers LLC 14,Germany,,36.86,319835797.94,0.7,21032,0.4,2025-07-20 20:33:21.676340
15,Modern Manufacturing 15,Brazil,1.0,20.07,182127402.82,0.94,41306,0.29,2025-06-09 20:33:21.676340
16,Efficient Parts Co 16,China,2.0,98.02,266820378.6,0.38,87474,0.48,2025-01-02 20:33:21.676340
17,International Parts Ltd 17,India,,77.97,345243948.42,0.76,53296,0.9,2024-11-12 20:33:21.676340
18,Premium Components Ltd 18,Thailand,17.0,,113123971.18,0.52,78110,0.54,2024-12-13 20:33:21.676340
19,Superior Components 19,USA,,,452804586.49,0.86,10287,0.51,2025-05-21 20:33:21.676340
20,Professional Components 20,Japan,,89.41,288529613.21,0.46,62993,0.75,2025-07-05 20:33:21.676340
21,Advanced Materials Co 21,China,14.0,52.03,364808848.88,0.74,85696,0.18,2025-03-18 20:33:21.676340
22,Reliable Parts Co 22,China,,,224858160.37,0.57,37509,0.47,2025-09-02 20:33:21.676340
23,Innovative Parts Inc 23,Brazil,,58.65,8364170.39,0.36,99771,0.78,2025-07-17 20:33:21.676340
24,Dynamic Manufacturing 24,Thailand,,91.22,83153923.58,0.3,52173,0.31,2025-02-20 20:33:21.676340
25,Excellence Manufacturing 25,Vietnam,23.0,,149057204.92,0.93,76914,0.69,2025-09-09 20:33:21.676340
26,Reliable Parts Co 26,USA,2.0,86.74,79558931.24,0.92,11500,0.78,2025-09-05 20:33:21.676340
27,Optimal Components Ltd 27,China,,94.74,285268029.66,0.68,6209,0.6,2025-03-10 20:33:21.676340
28,Efficient Parts Co 28,Italy,17.0,28.38,358379708.59,0.46,52876,0.2,2024-11-14 20:33:21.676340
29,Excellence Manufacturing 29,Thailand,,,310958468.49,0.67,14104,0.16,2025-06-23 20:33:21.676340
30,Trusted Suppliers LLC 30,India,5.0,89.13,185394017.28,0.4,72200,0.66,2024-12-01 20:33:21.676340
31,Trusted Suppliers LLC 31,USA,22.0,19.32,439185355.52,0.47,15029,0.69,2025-07-23 20:33:21.676340
32,Prime Suppliers Inc 32,India,,28.32,317484741.48,0.47,65032,0.3,2025-09-14 20:33:21.676340
33,Precision Components Inc 33,Vietnam,,,385788492.29,0.71,35335,0.23,2025-02-26 20:33:21.676340
34,Modern Manufacturing 34,Vietnam,,,441670090.26,0.89,72511,0.13,2025-04-04 20:33:21.676340
35,Efficient Parts Co 35,Brazil,10.0,,154820916.62,0.88,6229,0.82,2025-06-25 20:33:21.676340
