id,supplier_id,component_id,tier_level,lead_time,contract_expiry
1,1,17,3,50,2025-12-04 20:33:21.677410
2,2,27,2,88,2028-06-07 20:33:21.677410
3,2,16,3,26,2028-04-18 20:33:21.677410
4,2,4,1,73,2027-05-16 20:33:21.677410
5,2,14,3,75,2028-07-26 20:33:21.677410
6,3,14,2,48,2027-03-26 20:33:21.677410
7,3,27,1,42,2028-05-20 20:33:21.677410
8,3,24,1,66,2027-12-25 20:33:21.677410
9,3,19,2,10,2028-08-17 20:33:21.677410
10,4,6,2,40,2027-10-07 20:33:21.677410
11,4,16,2,83,2027-05-28 20:33:21.677410
12,4,7,3,8,2028-10-02 20:33:21.677410
13,5,3,3,59,2028-08-05 20:33:21.677410
14,5,8,3,37,2028-07-11 20:33:21.677410
15,6,15,2,35,2028-02-15 20:33:21.677410
16,6,26,3,38,2027-07-29 20:33:21.677410
17,6,1,3,81,2027-12-04 20:33:21.677410
18,6,3,2,77,2027-10-14 20:33:21.677410
19,7,24,3,65,2027-05-17 20:33:21.677410
20,7,18,2,39,2027-02-24 20:33:21.677410
21,7,11,1,31,2027-08-17 20:33:21.677410
22,7,12,1,75,2026-11-23 20:33:21.677410
23,8,7,2,42,2027-06-11 20:33:21.677410
24,8,24,1,31,2027-07-08 20:33:21.677410
25,9,12,2,8,2026-07-26 20:33:21.677410
26,9,6,2,12,2026-02-28 20:33:21.677410
27,10,10,2,20,2025-12-04 20:33:21.677410
28,10,23,3,43,2028-06-27 20:33:21.677410
29,10,5,2,63,2027-10-07 20:33:21.677410
30,10,21,1,13,2027-04-10 20:33:21.677410
31,10,28,2,21,2026-03-22 20:33:21.677410
32,11,16,3,13,2026-09-15 20:33:21.677410
33,11,3,1,79,2027-07-24 20:33:21.677410
34,11,19,1,38,2026-07-09 20:33:21.677410
35,11,21,3,60,2027-02-14 20:33:21.677410
36,12,13,3,61,2027-07-27 20:33:21.677410
37,12,15,3,86,2026-03-12 20:33:21.677410
38,12,30,3,19,2027-01-08 20:33:21.677410
39,12,10,3,34,2027-05-04 20:33:21.677410
40,12,28,3,17,2026-09-26 20:33:21.677410
41,13,6,1,27,2025-11-14 20:33:21.677410
42,13,18,2,64,2028-06-28 20:33:21.677410
43,14,2,3,43,2028-05-26 20:33:21.677410
44,14,8,1,36,2027-05-04 20:33:21.677410
45,14,10,3,82,2026-12-19 20:33:21.677410
46,15,4,1,41,2026-08-27 20:33:21.677410
47,15,18,1,14,2026-10-14 20:33:21.677410
48,15,8,2,83,2027-06-23 20:33:21.677410
49,15,21,2,22,2028-06-25 20:33:21.677410
50,16,23,3,76,2028-08-16 20:33:21.677410
51,16,13,2,17,2026-01-29 20:33:21.677410
52,16,9,2,48,2027-04-05 20:33:21.677410
53,17,3,1,80,2025-12-21 20:33:21.677410
54,18,19,1,67,2028-10-06 20:33:21.677410
55,18,2,3,63,2027-06-01 20:33:21.677410
56,18,25,1,81,2028-04-19 20:33:21.677410
57,19,3,2,48,2026-06-11 20:33:21.677410
58,19,16,1,49,2028-03-01 20:33:21.677410
59,19,12,3,70,2027-06-22 20:33:21.677410
60,19,14,3,58,2026-01-23 20:33:21.677410
61,20,3,2,72,2025-11-11 20:33:21.677410
62,20,11,3,76,2028-06-12 20:33:21.677410
63,20,9,2,13,2026-11-28 20:33:21.677410
64,20,4,3,53,2028-08-25 20:33:21.677410
65,21,25,3,23,2027-06-21 20:33:21.677410
66,21,2,2,69,2026-07-15 20:33:21.677410
67,21,7,1,87,2027-03-14 20:33:21.677410
68,21,9,3,27,2027-08-07 20:33:21.677410
69,22,1,1,66,2026-07-07 20:33:21.677410
70,22,18,3,26,2028-08-25 20:33:21.677410
71,22,14,3,44,2028-09-16 20:33:21.677410
72,22,3,3,41,2028-03-08 20:33:21.677410
73,22,8,2,67,2027-03-23 20:33:21.677410
74,23,18,3,72,2026-08-15 20:33:21.677410
75,23,5,1,42,2028-03-07 20:33:21.677410
76,23,13,2,71,2027-05-10 20:33:21.677410
77,23,7,1,43,2027-07-13 20:33:21.677410
78,24,19,2,75,2028-07-27 20:33:21.677410
79,24,22,2,49,2027-12-21 20:33:21.677410
80,24,16,2,48,2026-11-30 20:33:21.677410
81,24,28,3,37,2028-01-02 20:33:21.677410
82,24,5,1,59,2026-02-06 20:33:21.677410
83,25,24,2,56,2026-09-16 20:33:21.677410
84,25,16,2,11,2026-07-25 20:33:21.677410
85,25,23,3,82,2027-09-19 20:33:21.677410
86,26,28,2,19,2028-06-01 20:33:21.677410
87,27,24,1,59,2026-09-21 20:33:21.677410
88,28,16,2,50,2028-02-01 20:33:21.677410
89,29,28,2,75,2027-12-27 20:33:21.677410
90,30,21,2,76,2026-01-21 20:33:21.677410
91,30,23,3,15,2027-03-04 20:33:21.677410
92,30,29,3,43,2027-02-17 20:33:21.677410
93,31,14,1,88,2026-06-02 20:33:21.677410
94,32,6,1,12,2027-09-04 20:33:21.677410
95,32,23,1,44,2027-11-13 20:33:21.677410
96,32,10,2,62,2026-09-03 20:33:21.677410
97,32,29,1,74,2028-03-01 20:33:21.677410
98,33,22,2,86,2027-03-17 20:33:21.677410
99,33,26,2,81,2026-08-29 20:33:21.677410
100,33,6,1,66,2027-04-13 20:33:21.677410
101,33,3,2,39,2025-11-28 20:33:21.677410
102,33,20,2,43,2026-09-28 20:33:21.677410
103,34,15,2,82,2027-07-14 20:33:21.677410
104,35,23,2,32,2028-01-05 20:33:21.677410
105,35,9,2,20,2027-03-09 20:33:21.677410
106,35,15,2,80,2027-11-14 20:33:21.677410
107,35,28,3,44,2027-07-06 20:33:21.677410
108,36,27,3,57,2027-05-25 20:33:21.677410
109,37,19,3,13,2028-08-22 20:33:21.677410
110,38,25,3,52,2027-01-31 20:33:21.677410
111,38,26,3,31,2027-04-06 20:33:21.677410
112,38,8,3,24,2026-05-26 20:33:21.677410
113,39,10,2,11,2027-11-26 20:33:21.677410
114,40,3,2,48,2028-03-08 20:33:21.677410
115,40,30,1,32,2026-08-06 20:33:21.677410
116,41,29,1,39,2028-07-22 20:33:21.677410
117,41,12,2,50,2026-07-02 20:33:21.677410
118,41,17,2,16,2026-08-24 20:33:21.677410
119,41,30,1,57,2027-11-28 20:33:21.677410
120,41,9,1,57,2025-12-07 20:33:21.677410
121,42,18,2,40,2027-12-29 20:33:21.677410
122,42,4,3,54,2026-06-18 20:33:21.677410
123,42,15,3,36,2028-07-01 20:33:21.677410
124,43,20,3,48,2027-02-05 20:33:21.677410
125,44,21,2,45,2028-02-23 20:33:21.677410
126,45,5,1,11,2027-07-25 20:33:21.677410
127,46,4,1,56,2028-05-26 20:33:21.677410
128,46,8,2,76,2028-03-16 20:33:21.677410
129,46,29,3,26,2028-03-07 20:33:21.677410
130,46,18,3,19,2028-08-07 20:33:21.677410
131,47,14,1,63,2028-05-07 20:33:21.677410
132,47,9,1,53,2026-05-31 20:33:21.677410
133,47,2,3,54,2027-11-13 20:33:21.677410
134,47,23,1,57,2027-05-28 20:33:21.677410
135,47,12,1,22,2028-05-28 20:33:21.677410
136,48,22,1,89,2025-12-22 20:33:21.677410
137,49,26,2,38,2026-07-24 20:33:21.677410
138,50,7,1,82,2027-01-25 20:33:21.677410
139,50,3,1,49,2026-09-07 20:33:21.677410
140,50,27,3,7,2027-05-30 20:33:21.678424
141,50,25,1,23,2027-04-06 20:33:21.678424
142,50,18,1,21,2025-12-31 20:33:21.678424
