component_id,supplier_id,risk_category,vulnerability_score,geopolitical_risk,supply_disruption_probability,alternative_suppliers,critical_path,financial_stability,delivery_performance,quality_score
COMP_RAD_001,SUP_003,High,0.78,Medium,0.15,3,TRUE,0.45,0.67,0.72
COMP_ENG_002,SUP_001,Low,0.23,Low,0.05,8,FALSE,0.94,0.96,0.98
COMP_ARM_003,SUP_004,Medium,0.45,Low,0.08,5,TRUE,0.89,0.91,0.87
COMP_COM_004,SUP_002,Medium,0.52,Medium,0.12,4,TRUE,0.87,0.84,0.89
COMP_SEN_005,SUP_017,Medium,0.37,Low,0.07,6,FALSE,0.85,0.88,0.92
COMP_POW_006,SUP_015,Low,0.33,Low,0.06,7,TRUE,0.87,0.89,0.91
COMP_HYD_007,SUP_016,Medium,0.41,Medium,0.09,4,FALSE,0.83,0.86,0.88
COMP_OPT_008,SUP_014,Low,0.35,Low,0.07,5,TRUE,0.86,0.88,0.90
COMP_BAT_009,SUP_018,High,0.52,High,0.18,2,TRUE,0.78,0.75,0.82
COMP_NAV_010,SUP_020,Low,0.30,Low,0.05,6,FALSE,0.89,0.92,0.94
COMP_TIT_011,SUP_011,High,0.67,High,0.22,1,TRUE,0.72,0.68,0.75
COMP_CER_012,SUP_012,Low,0.28,Low,0.04,7,FALSE,0.92,0.94,0.96
COMP_SEM_013,SUP_013,Medium,0.42,Medium,0.10,5,TRUE,0.84,0.87,0.89
COMP_AER_014,SUP_010,Low,0.31,Low,0.06,6,TRUE,0.88,0.90,0.92
COMP_ELE_015,SUP_009,Medium,0.38,Medium,0.08,5,FALSE,0.85,0.87,0.90
COMP_COM_016,SUP_005,Low,0.34,Low,0.07,4,TRUE,0.91,0.89,0.93
COMP_PRE_017,SUP_006,Low,0.25,Low,0.04,8,FALSE,0.93,0.95,0.97
COMP_MIN_018,SUP_007,Critical,0.89,Critical,0.35,0,TRUE,0.34,0.28,0.45
COMP_RAW_019,SUP_008,Low,0.19,Low,0.03,9,FALSE,0.96,0.98,0.99
COMP_COO_020,SUP_019,Low,0.26,Low,0.05,7,FALSE,0.91,0.93,0.95
